#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      1.4669      1.4669           0
           2      0.3627      0.9148    0.390394
           3      0.4736    0.767733    0.286628
           4     -0.1245    0.544675    0.289013
           5     -0.1651     0.40272    0.263779
           6     -0.5872    0.237733    0.266464
           7      0.0587    0.212157    0.229622
           8      0.9689     0.30675     0.21954
           9      0.2361      0.2989    0.195287
          10     -0.0986     0.25915    0.179758
          11     -0.4128    0.198064    0.173486
          12       0.286    0.205392    0.159183
          13      0.4636    0.225254    0.148172
          14      0.7728    0.264364    0.142657
          15     -0.1742    0.235127     0.13611
          16      0.6213    0.259263    0.129725
          17     -0.2693    0.228171    0.125765
          18     -0.5372     0.18565    0.125761
          19     -0.2138    0.164626    0.120886
          20      0.2194    0.167365    0.114873
