#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     17.7471     17.7471           0
           2     17.9677     17.8574   0.0779977
           3     17.4948     17.7366     0.11155
           4     17.9267     17.7841   0.0932391
           5      18.101     17.8475    0.093692
           6      18.236     17.9122   0.0979265
           7     17.4818     17.8507    0.101417
           8     18.0576     17.8766   0.0919781
           9      17.821     17.8704   0.0819652
          10     17.6211     17.8455   0.0774671
          11     18.1871     17.8765   0.0763969
          12     17.2953     17.8281   0.0839916
          13     17.7762     17.8241   0.0776257
          14     18.3805     17.8639    0.081624
          15     18.1408     17.8823   0.0782419
          16     17.7139     17.8718   0.0740561
          17     17.9522     17.8765   0.0698508
          18     17.7776      17.871    0.066186
          19     18.1804     17.8873    0.064674
          20     17.6171     17.8738   0.0628353
