#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     194.362     194.362           0
           2     207.159      200.76     4.52435
           3     202.616     201.379     3.05825
           4     197.017     200.289     2.48046
           5     201.742     200.579     2.00132
           6     198.616     200.252     1.69431
           7     205.202     200.959     1.59304
           8      205.35     201.508     1.48545
           9     194.809     200.764     1.49531
          10     191.171     199.804     1.62462
          11     187.695     198.703      1.8119
          12     197.336      198.59     1.66449
          13      193.67     198.211     1.57889
          14     196.837     198.113     1.46916
          15     199.504     198.206     1.37414
          16     203.796     198.555     1.33193
          17      206.37     199.015     1.33055
          18     206.734     199.444     1.32393
          19     195.684     199.246     1.26895
          20     192.184     198.893     1.25366
