#         T:            mu:         sigma:             H:           err:
   0.0145303       0.877096       0.595412      -0.416061     0.00312107
    0.014385       0.868825       0.588068       -0.41987     0.00274542
   0.0142412       0.857313       0.609456      -0.433388     0.00279693
   0.0140988       0.817959       0.661697      -0.425483     0.00400337
   0.0139578       0.826907       0.610743      -0.441115     0.00299168
   0.0138182       0.847623       0.626545      -0.435085     0.00306615
     0.01368       0.867338       0.619276      -0.428022     0.00328666
   0.0135432        0.86745       0.655961      -0.410006     0.00475812
   0.0134078       0.882886       0.584185      -0.415311     0.00310645
   0.0132737       0.894727       0.597789      -0.409363     0.00311645
    0.013141       0.838316       0.635274      -0.435578     0.00315821
   0.0130096       0.800435        0.68598      -0.408754      0.0045236
   0.0128795       0.791647       0.680538      -0.418626     0.00383947
   0.0127507        0.78941       0.663508      -0.432649      0.0033264
   0.0126232       0.809032       0.637199       -0.44541     0.00271333
   0.0124969       0.777021       0.623723      -0.448114     0.00237847
    0.012372       0.833882       0.646077      -0.441575     0.00295585
   0.0122482       0.808666       0.612533      -0.444512     0.00240244
   0.0121258       0.841784       0.580704      -0.427612     0.00281003
   0.0120045       0.814594       0.568898      -0.425174     0.00322318
   0.0118845       0.815983       0.604836      -0.440809     0.00267965
   0.0117656       0.807652       0.605517      -0.433555     0.00336112
    0.011648       0.774009       0.625777      -0.445393     0.00232948
   0.0115315       0.787062       0.586792      -0.438234     0.00227117
   0.0114162       0.785523       0.613872      -0.444352     0.00220534
    0.011302       0.753613       0.600165      -0.431592      0.0021532
    0.011189       0.761149       0.619052      -0.439181     0.00206928
   0.0110771       0.779764       0.617685      -0.440028     0.00332969
   0.0109663        0.82376       0.609028      -0.446435     0.00245134
   0.0108567       0.813059       0.599443      -0.442532     0.00234753
   0.0107481       0.824417       0.642159      -0.445962     0.00268519
   0.0106406       0.802485       0.659393      -0.435821     0.00263563
   0.0105342       0.812065       0.654836      -0.435726     0.00335462
   0.0104289       0.811112        0.62944      -0.444629     0.00241539
   0.0103246       0.808111       0.631903      -0.440331     0.00308632
   0.0102213       0.791031       0.599335      -0.443329     0.00268847
   0.0101191       0.795977       0.620171      -0.444337     0.00252121
   0.0100179       0.817861       0.605328      -0.444789     0.00219848
