#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1730.91     1730.91           0
           2     1720.33     1725.62     3.73907
           3     1673.18     1708.14     14.4894
           4     1470.03     1648.61     52.6858
           5     1669.66     1652.82     42.3164
           6     1608.93     1645.51     35.8904
           7     1528.92     1628.85     34.4112
           8     1619.79     1627.72     30.1284
           9     1780.04     1644.64     31.1745
          10     1591.24      1639.3     28.5107
          11     1637.91     1639.18     25.9191
          12     1656.01     1640.58     23.7971
          13     1441.17     1625.24     26.4523
          14     1335.01     1604.51     31.6608
          15     1805.12     1617.88     32.2513
          16      1742.9      1625.7     31.1677
          17     1551.38     1621.32     29.6393
          18     1620.66     1621.29     27.9927
          19     1829.16     1632.23     28.5776
          20     1611.02     1631.17     27.1684
