#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -1.5174     -1.5174           0
           2      1.7099     0.09625     1.14102
           3     -0.4738  -0.0937667    0.776343
           4      0.9081      0.1567    0.621348
           5      0.6973     0.26482    0.506398
           6     -3.7025     -0.3964    0.736496
           7        8.17    0.827371     1.29699
           8     -3.2842    0.313425      1.2325
           9      0.1944      0.3002     1.09562
          10     -0.1335     0.25683    0.986919
          11      4.3989    0.633382    0.966368
          12     -1.6438    0.443617    0.904278
          13     -2.6112    0.208631    0.864711
          14      4.9854    0.549829    0.867653
          15     -5.1127    0.172327    0.888144
          16     -4.9975   -0.150787    0.889471
          17     -2.7463   -0.303465    0.850151
          18      4.2604  -0.0499167    0.839879
          19     -3.2726   -0.219532    0.812622
          20       8.474    0.215145    0.880605
