#   N_BLOCK:  ACCEPTANCE:
           1    0.083619
           2    0.084053
           3   0.0852463
           4   0.0870473
           5   0.0867838
           6   0.0869705
           7   0.0872036
           8   0.0870397
           9   0.0865076
          10   0.0865999
          11    0.086532
          12   0.0863065
          13   0.0865264
          14   0.0872083
          15    0.087026
          16   0.0867584
          17   0.0869866
          18   0.0869965
          19   0.0866533
          20   0.0867206
