#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     22.4954     22.4954           0
           2     21.7771     22.1363     0.25397
           3     22.8771     22.3832    0.263287
           4     21.0292     22.0447    0.353454
           5     22.4667     22.1291    0.292665
           6     22.6257     22.2119    0.255323
           7     20.4053     21.9538    0.324015
           8     21.5547     21.9039    0.287327
           9     22.0827     21.9238    0.256088
          10     21.2303     21.8544    0.239684
          11     21.3503     21.8086    0.222233
          12     22.2995     21.8495    0.207444
          13     20.3148     21.7314    0.222557
          14     19.8809     21.5993    0.242761
          15     23.2039     21.7062    0.249034
          16     20.6761     21.6418    0.241649
          17     20.5583     21.5781    0.235691
          18     21.9488     21.5987    0.223495
          19     22.2236     21.6316    0.214138
          20     22.6218     21.6811    0.209077
