#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -0.0298     -0.0298           0
           2     -0.6309    -0.33035    0.212521
           3     -0.4294   -0.363367    0.144223
           4     -0.1368   -0.306725     0.11877
           5      0.1845    -0.20848    0.129421
           6      0.7356  -0.0511333     0.17962
           7       0.118  -0.0269714    0.155577
           8     -0.1207  -0.0386875     0.13657
           9      -0.387  -0.0773889    0.126761
          10     -0.0985     -0.0795    0.114102
          11     -0.0957  -0.0809727    0.103739
          12      0.3551  -0.0446333    0.101259
          13       0.334  -0.0155077   0.0975686
          14     -0.0286  -0.0164429   0.0906039
          15     -0.4961    -0.04842   0.0900298
          16      0.5075   -0.013675   0.0908605
          17      0.4886   0.0158706   0.0901917
          18      0.0676   0.0187444   0.0852268
          19      0.5812   0.0483474   0.0857283
          20      0.0894      0.0504   0.0814665
