#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.665836   -0.665836           0
           2   -0.663684    -0.66476 0.000760847
           3   -0.665332   -0.664951 0.000530584
           4      -0.664   -0.664713 0.000448016
           5   -0.664528   -0.664676 0.000359938
           6   -0.663732   -0.664519 0.000332561
           7   -0.665148   -0.664609 0.000296956
           8   -0.663184   -0.664431 0.000308644
           9   -0.663128   -0.664286 0.000306407
          10   -0.665148   -0.664372 0.000287642
          11   -0.665068   -0.664435 0.000268362
          12   -0.664956   -0.664479 0.000249482
          13   -0.665584   -0.664564  0.00024435
          14     -0.6622   -0.664395 0.000279198
          15   -0.663968   -0.664366 0.000262031
          16   -0.663484   -0.664311 0.000251391
          17   -0.664372   -0.664315 0.000236628
          18   -0.665144   -0.664361 0.000227922
          19   -0.663652   -0.664324 0.000218959
          20   -0.663424   -0.664279  0.00021258
