#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     17.9845     17.9845           0
           2     17.9922     17.9884  0.00271927
           3     17.9224     17.9664   0.0180563
           4     17.6179     17.8793   0.0766515
           5     18.1176     17.9269   0.0746849
           6     17.6343     17.8782    0.076524
           7     18.0601     17.9042   0.0698678
           8     17.8331     17.8953   0.0616959
           9     18.2561     17.9354   0.0666045
          10     17.9516      17.937   0.0599637
          11     18.1638     17.9576   0.0579502
          12      17.754     17.9406     0.05555
          13     17.8414      17.933   0.0517984
          14     17.3455      17.891   0.0628403
          15     18.2747     17.9166   0.0636439
          16     18.0944     17.9277    0.060628
          17     17.2031     17.8851    0.070471
          18     17.8065     17.8807   0.0666911
          19     17.9404     17.8839   0.0632549
          20     18.0845     17.8939   0.0608827
