#   N_BLOCK:  ACCEPTANCE:
           1    0.334417
           2    0.335109
           3    0.334889
           4    0.335451
           5    0.335443
           6    0.335499
           7    0.335445
           8    0.335675
           9    0.335823
          10    0.335722
          11    0.335628
          12    0.335592
          13      0.3355
          14    0.335684
          15    0.335722
          16    0.335778
          17    0.335732
          18    0.335689
          19    0.335647
          20    0.335695
