#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     199.563     199.563           0
           2     206.092     202.828     2.30839
           3     201.915     202.523     1.55886
           4     194.226     200.449     2.14347
           5     195.216     199.402     1.95366
           6     198.204     199.203     1.63823
           7     203.431     199.807     1.51145
           8     197.032      199.46     1.36172
           9     202.347     199.781     1.24764
          10     203.123     200.115     1.16679
          11     201.351     200.227     1.06611
          12     195.366     199.822     1.05144
          13     201.212     199.929    0.975976
          14     193.075     199.439     1.02171
          15     193.771     199.062     1.02108
          16     195.619     198.846     0.97967
          17     201.747     199.017    0.936785
          18     193.046     198.685    0.941644
          19     204.524     198.993    0.940898
          20     201.674     199.127    0.903356
