#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     21.4852     21.4852           0
           2     20.6949       21.09    0.279424
           3      21.001     21.0604    0.187852
           4     21.9961     21.2943     0.24676
           5     20.7476     21.1849    0.220305
           6     21.7027     21.2712    0.199776
           7     20.6602      21.184    0.189348
           8     21.0549     21.1678    0.166366
           9     21.5111      21.206    0.152191
          10     21.3896     21.2243    0.138075
          11     21.1253     21.2153    0.125815
          12     21.0435      21.201    0.116143
          13     20.7691     21.1678     0.11186
          14     21.6884      21.205    0.109877
          15     20.9662      21.189    0.103699
          16     21.3264     21.1976   0.0975726
          17     21.6043     21.2215   0.0947201
          18     21.5487     21.2397   0.0911851
          19     21.0252     21.2284   0.0870824
          20     21.3503     21.2345   0.0829413
