#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     439.575     439.575           0
           2     398.878     419.227     14.3885
           3     421.649     420.034     9.61497
           4     404.666     416.192     7.94188
           5      430.43      419.04       6.845
           6     420.112     419.219      5.7065
           7     415.448      418.68     4.91664
           8     470.384     425.143     7.42008
           9     426.347     425.277     6.59683
          10     409.104     423.659     6.13218
          11     442.833     425.403     5.81717
          12     426.515     425.495     5.33314
          13     390.079     422.771     5.57548
          14      437.09     423.794      5.2702
          15     415.259     423.225     4.94947
          16     438.469     424.178     4.73095
          17     431.767     424.624     4.47367
          18     405.525     423.563     4.34914
          19     441.893     424.528     4.22588
          20     403.461     423.474     4.14379
