#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       0.721       0.721           0
           2      0.9314      0.8262   0.0743876
           3      1.4717     1.04137    0.182548
           4     -1.0084    0.528925    0.464427
           5     -1.0231     0.21852    0.463814
           6      0.0686    0.193533    0.387185
           7     -1.1506  0.00151429    0.376488
           8      2.1242     0.26685    0.412462
           9     -0.9654    0.129933    0.388694
          10      -0.099     0.10704    0.350498
          11     -1.0934 -0.00209091    0.335194
          12      0.4859    0.038575    0.309718
          13      0.9866      0.1115    0.294354
          14      0.4154    0.133207    0.274128
          15     -0.2448    0.108007    0.257008
          16       0.217    0.114819    0.241035
          17     -2.2327  -0.0232706     0.26346
          18     -0.4766  -0.0484556    0.250024
          19     -1.3082   -0.114758    0.245499
          20      0.1952    -0.09926    0.233712
