#     GEN:            L2:          <L2>:
       246        2.10096        2.10096
       247        2.10096        2.10096
       248        2.10096        2.10096
       249        2.10096        2.10096
       250        2.10096        2.10096
       251        2.10096        2.10096
       252        2.10096        2.10096
       253        2.10096        2.10096
       254        2.10096        2.10096
       255        2.10096        2.10096
       256        2.10096        2.10096
       257        2.10096        2.10096
       258        2.10096        2.10096
       259        2.10096        2.10096
       260        2.10096        2.10096
       261        2.10096        2.10096
       262        2.10096        2.10096
       263        2.10096        2.10096
       264        2.10096        2.10096
       265        2.10096        2.10096
       266        2.10096        2.10096
       267        2.10096        2.10096
       268        2.10096        2.10096
       269        2.10096        2.10096
       270        2.10096        2.10096
       271        2.10096        2.10096
       272        2.10096        2.10096
       273        2.10096        2.10096
       274        2.10096        2.10096
       275        2.10096        2.10096
       276        2.10096        2.10096
       277        2.10096        2.10096
       278        2.10096        2.10096
       279        2.10096        2.10096
       280        2.10096        2.10096
       281        2.10096        2.10096
       282        2.10096        2.10096
       283        2.10096        2.10096
       284        2.10096        2.10096
       285        2.10096        2.10096
       286        2.10096        2.10096
       287        2.10096        2.10096
       288        2.10096        2.10096
       289        2.10096        2.10096
       290        2.10096        2.10096
       291        2.10096        2.10096
       292        2.10096        2.10096
       293        2.10096        2.10096
       294        2.10096        2.10096
       295        2.10096        2.10096
       296        2.10096        2.10096
       297        2.10096        2.10096
       298        2.10096        2.10096
       299        2.10096        2.10096
       300        2.10096        2.10096
       301        2.10096        2.10096
       302        2.10096        2.10096
       303        2.10096        2.10096
       304        2.10096        2.10096
       305        2.10096        2.10096
       306        2.10096        2.10096
       307        2.10096        2.10096
       308        2.10096        2.10096
       309        2.10096        2.10096
       310        2.10096        2.10096
       311        2.10096        2.10096
       312        2.10096        2.10096
       313        2.10096        2.10096
       314        2.10096        2.10096
       315        2.10096        2.10096
       316        2.10096        2.10096
       317        2.10096        2.10096
       318        2.10096        2.10096
       319        2.10096        2.10096
       320        2.10096        2.10096
       321        2.10096        2.10096
       322        2.10096        2.10096
       323        2.10096        2.10096
       324        2.10096        2.10096
       325        2.10096        2.10096
       326        2.10096        2.10096
       327        2.10096        2.10096
       328        2.10096        2.10096
       329        2.10096        2.10096
       330        2.10096        2.10096
       331        2.10096        2.10096
       332        2.10096        2.10096
       333        2.10096        2.10096
       334        2.10096        2.10096
       335        2.10096        2.10096
       336        2.10096        2.10096
       337        2.10096        2.10096
       338        2.10096        2.10096
       339        2.10096        2.10096
       340        2.10096        2.10096
       341        2.10096        2.10096
       342        2.10096        2.10096
       343        2.10096        2.10096
       344        2.10096        2.10096
       345        2.10096        2.10096
       346        2.10096        2.10096
       347        2.10096        2.10096
       348        2.10096        2.10096
       349        2.10096        2.10096
       350        2.10096        2.10096
       351        2.10096        2.10096
       352        2.10096        2.10096
       353        2.10096        2.10096
       354        2.10096        2.10096
       355        2.10096        2.10096
       356        2.10096        2.10096
       357        2.10096        2.10096
       358        2.10096        2.10096
       359        2.10096        2.10096
       360        2.10096        2.10096
       361        2.10096        2.10096
       362        2.10096        2.10096
       363        2.10096        2.10096
       364        2.10096        2.10096
       365        2.10096        2.10096
       366        2.10096        2.10096
       367        2.10096        2.10096
       368        2.10096        2.10096
       369        2.10096        2.10096
       370        2.10096        2.10096
       371        2.10096        2.10096
       372        2.10096        2.10096
       373        2.10096        2.10096
       374        2.10096        2.10096
       375        2.10096        2.10096
       376        2.10096        2.10096
       377        2.10096        2.10096
       378        2.10096        2.10096
       379        2.10096        2.10096
       380        2.10096        2.10096
       381        2.10096        2.10096
       382        2.10096        2.10096
       383        2.10096        2.10096
       384        2.10096        2.10096
       385        2.10096        2.10096
       386        2.10096        2.10096
       387        2.10096        2.10096
       388        2.10096        2.10096
       389        2.10096        2.10096
       390        2.10096        2.10096
       391        2.10096        2.10096
       392        2.10096        2.10096
       393        2.10096        2.10096
       394        2.10096        2.10096
       395        2.10096        2.10096
       396        2.10096        2.10096
       397        2.10096        2.10096
       398        2.10096        2.10096
       399        2.10096        2.10096
       400        2.10096        2.10096
       401        2.10096        2.10096
       402        2.10096        2.10096
       403        2.10096        2.10096
       404        2.10096        2.10096
       405        2.10096        2.10096
       406        2.10096        2.10096
       407        2.10096        2.10096
       408        2.10096        2.10096
       409        2.10096        2.10096
       410        2.10096        2.10096
       411        2.10096        2.10096
       412        2.10096        2.10096
       413        2.10096        2.10096
       414        2.10096        2.10096
       415        2.10096        2.10096
       416        2.10096        2.10096
       417        2.10096        2.10096
       418        2.10096        2.10096
       419        2.10096        2.10096
       420        2.10096        2.10096
       421        2.10096        2.10096
       422        2.10096        2.10096
       423        2.10096        2.10096
       424        2.10096        2.10096
       425        2.10096        2.10096
       426        2.10096        2.10096
       427        2.10096        2.10096
       428        2.10096        2.10096
       429        2.10096        2.10096
       430        2.10096        2.10096
       431        2.10096        2.10096
       432        2.10096        2.10096
       433        2.10096        2.10096
       434        2.10096        2.10096
       435        2.10096        2.10096
       436        2.10096        2.10096
       437        2.10096        2.10096
       438        2.10096        2.10096
       439        2.10096        2.10096
       440        2.10096        2.10096
       441        2.10096        2.10096
       442        2.10096        2.10096
       443        2.10096        2.10096
       444        2.10096        2.10096
       445        2.10096        2.10096
       446        2.10096        2.10096
       447        2.10096        2.10096
       448        2.10096        2.10096
       449        2.10096        2.10096
       450        2.10096        2.10096
       451        2.10096        2.10096
       452        2.10096        2.10096
       453        2.10096        2.10096
       454        2.10096        2.10096
       455        2.10096        2.10096
       456        2.10096        2.10096
       457        2.10096        2.10096
       458        2.10096        2.10096
       459        2.10096        2.10096
       460        2.10096        2.10096
       461        2.10096        2.10096
       462        2.10096        2.10096
       463        2.10096        2.10096
       464        2.10096        2.10096
       465        2.10096        2.10096
       466        2.10096        2.10096
       467        2.10096        2.10096
       468        2.10096        2.10096
       469        2.10096        2.10096
       470        2.10096        2.10096
       471        2.10096        2.10096
       472        2.10096        2.10096
       473        2.10096        2.10096
       474        2.10096        2.10096
       475        2.10096        2.10096
       476        2.10096        2.10096
       477        2.10096        2.10096
       478        2.10096        2.10096
       479        2.10096        2.10096
       480        2.10096        2.10096
       481        2.10096        2.10096
       482        2.10096        2.10096
       483        2.10096        2.10096
       484        2.10096        2.10096
       485        2.10096        2.10096
       486        2.10096        2.10096
       487        2.10096        2.10096
       488        2.10096        2.10096
       489        2.10096        2.10096
       490        2.10096        2.10096
       491        2.10096        2.10096
       492        2.10096        2.10096
       493        2.10096        2.10096
       494        2.10096        2.10096
       495        2.10096        2.10096
       496        2.10096        2.10096
       497        2.10096        2.10096
       498        2.10096        2.10096
       499        2.10096        2.10096
       500        2.10096        2.10096
