#  VELOCITY:   ACTUAL_POFV:   AVE_POFV:      ERROR:
    0.282843      0.0412233   0.0305676  0.00450942
    0.471405      0.0629521    0.075969  0.00985569
    0.659966       0.105207    0.137096   0.0107911
    0.848528       0.208621    0.227138   0.0314687
     1.03709       0.333028    0.276238   0.0231822
     1.22565       0.527261    0.416497   0.0415763
     1.41421       0.590778    0.501976   0.0363957
     1.60278       0.563697    0.523279   0.0412932
     1.79134       0.562665    0.478107   0.0302724
      1.9799       0.465586    0.438509   0.0206223
     2.16846        0.33649    0.361189   0.0110866
     2.35702       0.294775    0.332348   0.0142517
     2.54558       0.264257    0.360899   0.0623295
     2.73415        0.32112    0.300373   0.0237335
     2.92271       0.181049    0.235342   0.0242005
     3.11127       0.172063    0.187936   0.0196246
     3.29983      0.0974727    0.137947   0.0166874
     3.48839      0.0822257    0.109475    0.011847
     3.67696      0.0532785   0.0753961  0.00706723
     3.86552      0.0371477   0.0398852  0.00818297
     4.05408     0.00144859    0.030408  0.00961243
     4.24264              0   0.0119611  0.00490108
      4.4312              0  0.00588846  0.00336458
     4.61976              0  0.00282352   0.0024802
     4.80833              0  0.00147314  0.00134479
     4.99689              0 0.000466494 0.000425849
     5.18545              0 0.000323272 0.000295106
     5.37401              0           0           0
     5.56257              0           0           0


   0.0942809              0  0.00324792  0.00165137
    0.282843      0.0497676   0.0333105  0.00462476
    0.471405      0.0802124   0.0765752  0.00846636
    0.659966       0.161235    0.140544  0.00978501
    0.848528       0.347366    0.244313   0.0313115
     1.03709       0.396545    0.293425   0.0254562
     1.22565       0.522326    0.431616    0.038287
     1.41421       0.557338    0.509885   0.0320441
     1.60278       0.635218    0.539271   0.0383658
     1.79134       0.469121    0.476824    0.025975
      1.9799       0.297304    0.418336   0.0257144
     2.16846       0.252447    0.345655   0.0172381
     2.35702       0.277441    0.324504   0.0142113
     2.54558       0.263324    0.346959   0.0549619
     2.73415       0.328093    0.304333   0.0206707
     2.92271       0.177464    0.227074   0.0221107
     3.11127       0.191459    0.188439   0.0168275
     3.29983      0.0937899    0.131639   0.0154498
     3.48839      0.0591711    0.102288     0.01214
     3.67696      0.0509215   0.0718997  0.00686827
     3.86552      0.0517317   0.0415776  0.00718685
     4.05408      0.0293646    0.030259  0.00824038
     4.24264     0.00999279   0.0116799  0.00420898
      4.4312     0.00166956  0.00528576  0.00293741
     4.61976              0  0.00242016  0.00215843
     4.80833              0  0.00126269  0.00116902
     4.99689              0 0.000399852 0.000370191
     5.18545              0  0.00027709 0.000256536
     5.37401              0           0           0
     5.56257              0           0           0


   0.0942809      0.0208204  0.00544448   0.0025119
    0.282843      0.0360919   0.0336582  0.00405971
    0.471405      0.0993878   0.0794268  0.00787366
    0.659966       0.200101    0.147989   0.0110363
    0.848528       0.265705    0.246987   0.0275115
     1.03709       0.350067    0.300505    0.023238
     1.22565       0.391168     0.42656   0.0338333
     1.41421       0.540347    0.513693   0.0282639
     1.60278       0.479089    0.531748   0.0342996
     1.79134       0.509976    0.480968   0.0230563
