#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      2.3973      2.3973           0
           2      2.5158     2.45655   0.0418961
           3      2.5982     2.50377   0.0476067
           4      2.0558     2.39177    0.103351
           5      2.3385     2.38112   0.0832283
           6       2.025     2.32177   0.0880117
           7      2.1011     2.29024   0.0808874
           8       2.845     2.35959   0.0960047
           9      2.6803     2.39522   0.0917128
          10      2.1581     2.37151    0.085552
          11      1.9708     2.33508   0.0851778
          12      2.1997      2.3238   0.0788232
          13      2.5741     2.34305   0.0750746
          14      2.7943     2.37529   0.0763182
          15      1.9832     2.34915   0.0755742
          16      2.8268       2.379   0.0765203
          17      2.2698     2.37258   0.0722882
          18      2.5928     2.38481   0.0692998
          19      2.4139     2.38634   0.0656694
          20      2.0675      2.3704   0.0642919
