#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      352.94      352.94           0
           2      349.83     351.385     1.09965
           3     352.715     351.828     0.81763
           4     351.876      351.84     0.61331
           5     354.608     352.394    0.696998
           6      349.34     351.885    0.743786
           7     353.183      352.07    0.660242
           8     352.714     352.151    0.582599
           9     352.379     352.176    0.518417
          10     350.259     351.984    0.500752
          11     352.387     352.021    0.456568
          12     353.643     352.156    0.438062
          13     352.718     352.199    0.406494
          14     350.394      352.07    0.397396
          15     349.873     351.924    0.396981
          16     354.909      352.11    0.413699
          17     352.548     352.136    0.390163
          18     352.961     352.182    0.371171
          19      351.98     352.171    0.351787
          20     348.983     352.012    0.368562
