#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     118.093     118.093           0
           2         119     118.546    0.320662
           3      117.62     118.238    0.330506
           4     117.904     118.154      0.2582
           5       121.9     118.903    0.701246
           6     118.098     118.769    0.597093
           7     125.544     119.737     1.03187
           8     122.387     120.068    0.954578
           9     122.812     120.373    0.895879
          10     118.187     120.154     0.83254
          11     117.439     119.908    0.792599
          12     119.486     119.872    0.727329
          13     116.358     119.602     0.71986
          14     118.345     119.512    0.674014
          15     118.931     119.474    0.630194
          16     117.738     119.365    0.600074
          17     120.415     119.427    0.567946
          18     120.329     119.477    0.538598
          19     114.095     119.194    0.579976
          20     119.018     119.185    0.551044
