#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      10.063      10.063           0
           2     10.0359     10.0494  0.00958294
           3     9.95775     10.0189   0.0257592
           4     9.72086     9.94437   0.0673523
           5     9.82169     9.91984   0.0581797
           6     9.76092     9.89335   0.0541777
           7     9.84135     9.88592   0.0469446
           8     10.0466     9.90601   0.0451708
           9     9.86868     9.90186   0.0403418
          10     9.79743     9.89142   0.0376352
          11     9.62371     9.86708   0.0413404
          12     9.86333     9.86677   0.0378965
          13     9.88925      9.8685   0.0350208
          14     9.82597     9.86546   0.0326508
          15      9.7376     9.85694   0.0315672
          16     9.93257     9.86166   0.0299461
          17     9.88372     9.86296   0.0282126
          18     9.76088     9.85729   0.0272093
          19     9.69208      9.8486    0.027131
          20     9.90579     9.85146   0.0259247
