#   N_BLOCK:  ACCEPTANCE:
           1    0.537142
           2    0.537923
           3     0.53809
           4    0.538057
           5    0.538029
           6     0.53804
           7    0.537849
           8    0.537644
           9    0.537683
          10    0.537763
          11    0.537678
          12     0.53758
          13    0.537611
          14    0.537638
          15    0.537685
          16    0.537709
          17    0.537731
          18    0.537635
          19    0.537634
          20    0.537625
