#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     68.6557     68.6557           0
           2     67.1651     67.9104    0.527007
           3     67.1731     67.6646    0.404606
           4     68.1336     67.7819     0.31999
           5     67.7614     67.7778    0.256018
           6     65.6625     67.4252    0.386124
           7     67.6973     67.4641    0.332914
           8      69.465     67.7142     0.37362
           9      67.999     67.7459    0.333444
          10     66.0822     67.5795    0.339072
          11     69.4166     67.7465    0.346948
          12     68.8893     67.8417    0.330848
          13     67.9246     67.8481    0.305459
          14     68.6888     67.9082    0.289483
          15     67.4387     67.8769    0.271871
          16     67.9516     67.8815    0.254919
          17     68.5893     67.9232      0.2433
          18     68.6738     67.9649     0.23333
          19     67.0059     67.9144    0.226442
          20     69.3335     67.9854    0.225964
