#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     46.7831     46.7831           0
           2     45.7251     46.2541    0.374059
           3     41.1363     44.5482     1.41504
           4     42.8045     44.1122     1.12642
           5     41.7289     43.6356    0.996905
           6     42.7183     43.4827    0.842395
           7     43.0225      43.417    0.724614
           8     44.8224     43.5926    0.654988
           9     46.1199     43.8734    0.639579
          10     45.1676     44.0029    0.588569
          11     44.9185     44.0861    0.540917
          12     46.3947     44.2785    0.528947
          13      45.065      44.339    0.491706
          14     46.9265     44.5238    0.490091
          15     43.6272      44.464    0.461049
          16      47.103      44.629    0.460792
          17     46.9359     44.7647    0.453228
          18     41.8403     44.6022    0.456239
          19     47.6412     44.7622    0.459409
          20     45.5462     44.8014    0.438108
