#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4570.77     4570.77           0
           2     4483.33     4527.05     30.9122
           3     4356.37     4470.16     50.8181
           4     4505.33     4478.95     38.8669
           5     4376.87     4458.53     36.0591
           6     4529.88     4470.42     31.9496
           7     4401.23     4460.54     28.8743
           8     4345.84      4446.2      28.604
           9     4623.08     4465.85     31.4612
          10     4433.83     4462.65     28.4775
          11     4512.02     4467.14       26.24
          12     4518.36     4471.41     24.3979
          13     4438.88     4468.91     22.6491
          14     4587.33     4477.37     22.5556
          15     4508.16     4479.42     21.1451
          16     4655.14      4490.4     22.4956
          17     4594.31     4496.51     21.9871
          18        4513     4497.43     20.7847
          19     4677.42      4506.9     21.7426
          20     4467.09     4504.91     20.7464
