#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -1.0052     -1.0052           0
           2    -1.00339     -1.0043 0.000640356
           3   -0.998067    -1.00222  0.00174827
           4    -1.00327    -1.00248  0.00133079
           5   -0.999044    -1.00179  0.00122953
           6    -1.00348    -1.00207  0.00105605
           7    -1.00005    -1.00178 0.000944142
           8   -0.999769    -1.00153 0.000859082
           9    -1.00636    -1.00207 0.000915895
          10    -1.00256    -1.00212 0.000825595
          11     -1.0034    -1.00223 0.000758771
          12    -1.00431    -1.00241  0.00071498
          13    -1.00164    -1.00235 0.000662401
          14    -1.00648    -1.00264 0.000677602
          15    -1.00259    -1.00264 0.000632437
          16    -1.00794    -1.00297 0.000674019
          17    -1.00651    -1.00318 0.000665679
          18    -1.00177     -1.0031 0.000633295
          19    -1.00921    -1.00342 0.000676651
          20    -1.00313    -1.00341 0.000642971
