#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     10112.8     10112.8           0
           2     10076.6     10094.7     12.7933
           3     9974.12     10054.5     33.8978
           4     10074.8     10059.6     25.7996
           5     9993.04     10046.3     23.8232
           6     10079.1     10051.7     20.4707
           7     10011.8       10046     18.3233
           8     10006.9     10041.1     16.6714
           9     10135.1     10051.6     17.7877
          10     10061.7     10052.6     16.0375
          11     10077.2     10054.8     14.7344
          12     10094.8     10058.1     13.8775
          13     10043.1       10057     12.8582
          14     10136.7     10062.7     13.1411
          15     10062.9     10062.7     12.2651
          16     10165.5     10069.1     13.0725
          17     10137.1     10073.1        12.9
          18     10046.4     10071.6     12.2684
          19     10189.9     10077.9     13.1063
          20     10072.4     10077.6     12.4538
