#   N_BLOCK:  ACCEPTANCE:
           1    0.013364
           2   0.0138275
           3   0.0150377
           4   0.0146458
           5    0.015081
           6   0.0147475
           7    0.014991
           8   0.0152776
           9   0.0148537
          10   0.0148587
          11   0.0147547
          12   0.0146602
          13   0.0147297
          14   0.0145349
          15   0.0145282
          16   0.0142808
          17   0.0141385
          18   0.0141665
          19   0.0139242
          20   0.0139553
