#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      1.9758      1.9758           0
           2      1.7778      1.8768   0.0700036
           3      2.1615      1.9717   0.0904544
           4      2.1819     2.02425   0.0816915
           5      1.9273     2.00486   0.0676152
           6      2.1274     2.02528   0.0593504
           7      1.9271     2.01126    0.052503
           8      2.1751     2.03174   0.0497746
           9      2.0302     2.03157   0.0442444
          10      1.5024     1.97865   0.0640764
          11      1.9169     1.97304   0.0584966
          12      1.5071     1.93421   0.0652479
          13      2.1125     1.94792   0.0616534
          14      2.1028     1.95899   0.0582336
          15      1.9612     1.95913   0.0543516
          16      1.7634      1.9469   0.0523132
          17      1.6378     1.92872   0.0523004
          18      1.9384     1.92926   0.0493976
          19      1.9719      1.9315   0.0468487
          20      1.7366     1.92176   0.0455085
