#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.531178   -0.531178           0
           2   -0.527207   -0.529193  0.00140403
           3   -0.531733   -0.530039  0.00116361
           4   -0.532445   -0.530641  0.00101629
           5   -0.530523   -0.530617 0.000813301
           6   -0.528019   -0.530184 0.000784608
           7   -0.531675   -0.530397 0.000700827
           8   -0.529354   -0.530267 0.000625233
           9   -0.528148   -0.530031 0.000598439
          10   -0.528973   -0.529925 0.000547874
          11   -0.529019   -0.529843 0.000504229
          12   -0.528951   -0.529769  0.00046766
          13   -0.530197   -0.529802 0.000432845
          14   -0.530337    -0.52984 0.000403614
          15   -0.529656   -0.529828 0.000376891
          16   -0.529609   -0.529814 0.000353582
          17   -0.530307   -0.529843 0.000333971
          18   -0.531295   -0.529924 0.000325018
          19   -0.531861   -0.530026 0.000323506
          20   -0.530727   -0.530061 0.000309224
