#   N_BLOCK:  ACCEPTANCE:
           1    0.465764
           2    0.467026
           3    0.466367
           4    0.466218
           5    0.466329
           6    0.466666
           7    0.466624
           8    0.466645
           9     0.46689
          10    0.466926
          11     0.46692
          12    0.466934
          13    0.466936
          14    0.466927
          15     0.46692
          16    0.466891
          17    0.466891
          18    0.466819
          19    0.466709
          20    0.466654
