#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     99.3654     99.3654           0
           2      94.716     97.0407     1.64382
           3     100.957     98.3462      1.5288
           4     98.9724     98.5028     1.15458
           5     97.8891       98.38    0.930167
           6     94.5351     97.7392    0.971112
           7     97.0316     97.6381    0.837625
           8     95.5601     97.3784    0.772147
           9     97.0238      97.339    0.687357
          10     99.2021     97.5253    0.643378
          11     97.3135      97.506    0.585177
          12     94.3599     97.2439    0.592239
          13     97.2931     97.2476    0.546695
          14     98.0344     97.3038    0.510525
          15      96.808     97.2708    0.477559
          16     93.4193     97.0301    0.504746
          17     93.7071     96.8346    0.511506
          18       95.54     96.7627     0.48812
          19     97.3314     96.7926    0.463346
          20      98.048     96.8554     0.44441
