#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     256.502     256.502           0
           2     252.814     254.658     1.30392
           3     257.285     255.534     1.12549
           4     257.544     256.036    0.949761
           5     255.968     256.023    0.759906
           6     253.722     255.639    0.723543
           7     256.709     255.792    0.636125
           8     254.987     255.692     0.56451
           9     253.583     255.457    0.548252
          10     254.537     255.365    0.501093
          11     254.583     255.294     0.46056
          12     254.419     255.221     0.42792
          13     255.693     255.257    0.396539
          14     255.796     255.296    0.370076
          15     254.889     255.269    0.346397
          16     255.083     255.257    0.324942
          17     255.508     255.272    0.306164
          18     256.507     255.341    0.296746
          19     257.167     255.437    0.296295
          20     256.088     255.469    0.283262
