#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      3.1698      3.1698           0
           2      3.3067     3.23825   0.0484015
           3      3.1903     3.22227   0.0348068
           4      2.5816      3.0621    0.141144
           5      2.9347     3.03662    0.115192
           6      2.5626     2.95762    0.120066
           7       3.172     2.98824    0.106749
           8      3.5541     3.05898    0.114465
           9       3.275     3.08298    0.104233
          10       2.664     3.04108    0.101883
          11      2.6069     3.00161   0.0999745
          12       3.018     3.00298   0.0916526
          13      3.3008     3.02588   0.0874188
          14      3.8464     3.08449   0.0988883
          15      2.6229     3.05372   0.0969657
          16      3.3652     3.07319    0.092839
          17      2.7355     3.05332   0.0894777
          18      3.0156     3.05123   0.0845312
          19      3.2791     3.06322   0.0809285
          20      2.8328      3.0517   0.0776979
