#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     154.041     154.041           0
           2      154.23     154.135   0.0666196
           3     147.115     151.795     1.91122
           4     150.418     151.451     1.46408
           5     155.356     152.232     1.36377
           6     155.267     152.738     1.22671
           7     157.963     153.484     1.25825
           8     160.292     154.335     1.35857
           9     154.901     154.398     1.20907
          10     147.418       153.7     1.27383
          11     148.471     153.225     1.24358
          12     154.423     153.325     1.14395
          13     150.928      153.14     1.07071
          14     158.586     153.529     1.06254
          15     150.129     153.303      1.0156
          16     155.596     153.446    0.962185
          17      156.75      153.64    0.925009
          18     155.209     153.727    0.877716
          19     148.527     153.454    0.873153
          20     149.221     153.242     0.85476
