#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.998552   -0.998552           0
           2    -1.00275    -1.00065  0.00148355
           3    -1.00785    -1.00305  0.00219499
           4    -1.00596    -1.00378  0.00176272
           5   -0.998444    -1.00271  0.00170262
           6    -1.00174    -1.00255  0.00142656
           7    -1.00724    -1.00322  0.00137105
           8   -0.997606    -1.00252  0.00136746
           9    -1.00441    -1.00273  0.00123166
          10    -1.00366    -1.00282  0.00111205
          11    -1.00334    -1.00287  0.00101195
          12    -1.00563     -1.0031 0.000953407
          13    -1.00581    -1.00331 0.000902612
          14    -1.00598     -1.0035 0.000858078
          15   -0.997024    -1.00307 0.000902911
          16    -1.00502    -1.00319 0.000854699
          17    -1.00075    -1.00305 0.000816397
          18   -0.992343    -1.00245 0.000963525
          19    -1.00155     -1.0024 0.000913988
          20    -1.00287    -1.00243 0.000868587
