#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     44.2901     44.2901           0
           2     46.4004     45.3453    0.746104
           3     47.4548     46.0484    0.759641
           4      47.001     46.2866     0.60591
           5       44.71     45.9713    0.560803
           6      43.304     45.5267    0.618939
           7     47.5446      45.815    0.593867
           8     36.6941     44.6749     1.18633
           9     46.2953     44.8549     1.06809
          10     46.3606     45.0055     0.97184
          11     44.9526     45.0007    0.883503
          12      47.482     45.2075    0.833724
          13      47.178      45.359    0.783249
          14     46.9978     45.4761    0.735998
          15     43.2808     45.3297    0.701331
          16     47.3416     45.4555    0.668675
          17     45.0587     45.4321    0.629749
          18      39.597      45.108    0.673048
          19     44.5258     45.0773    0.638321
          20     45.1954     45.0832    0.606433
