#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      9983.5      9983.5           0
           2     10064.4     10023.9     28.5927
           3     10163.6     10070.5     42.5355
           4     10127.4     10084.7     34.1993
           5     9981.71     10064.1     32.9884
           6     10045.6       10061     27.6344
           7     10151.2     10073.9     26.5171
           8     9962.65       10060      26.601
           9     10096.9     10064.1     23.9591
          10     10082.1     10065.9     21.6309
          11     10076.8     10066.9     19.6872
          12     10120.1     10071.3     18.5382
          13     10123.7     10075.4     17.5448
          14     10126.6       10079     16.6691
          15     9954.92     10070.8     17.4912
          16     10108.5     10073.1     16.5566
          17       10026     10070.3     15.8126
          18     9862.89     10058.8     18.6678
          19     10041.9     10057.9     17.7065
          20     10066.9     10058.4     16.8268
