#     GEN:            L2:          <L2>:
         1        2192.27        2712.73
         2        2091.46        2508.06
         3        1899.23        2337.96
         4        1785.99        2199.39
         5        1674.95        2042.69
         6        1644.83         1874.2
         7           1532        1748.35
         8         1469.5        1673.63
         9        1440.46        1610.77
        10           1382        1543.49
        11        1324.84        1487.28
        12        1291.73        1424.59
        13        1226.38        1377.13
        14        1180.47        1332.39
        15        1100.28        1292.12
        16        1043.66        1230.98
        17         993.14        1154.41
        18        956.649        1086.57
        19        950.678        1043.62
        20        921.948        1001.11
        21        906.165        966.637
        22        869.254         940.41
        23        844.959        920.201
        24        814.289        902.735
        25         803.72         890.11
        26        790.395        876.338
        27        755.491        850.312
        28        735.251        829.005
        29        723.627        816.078
        30         696.28        794.636
        31        628.881        779.297
        32        583.879        761.995
        33        577.004        751.169
        34        575.013        724.289
        35        566.002        673.022
        36        551.986        626.911
        37        525.905        594.846
        38        508.599        574.384
        39        500.982        557.619
        40        495.079        539.299
        41         475.65        524.376
        42        468.033        511.751
        43        458.725        495.346
        44        450.547        482.487
        45        441.239        469.996
        46        431.989        458.399
        47        411.368        449.174
        48        408.747        441.986
        49        404.917        432.313
        50        398.074         423.98
        51        377.721        417.585
        52        377.721        410.895
        53          375.1        397.171
        54         353.16        388.963
        55        352.328        384.963
        56        347.841        381.517
        57        342.022         372.28
        58         328.04        363.857
        59         328.04        359.347
        60        327.673        362.973
        61        317.158        361.616
        62        311.494        367.595
        63        303.915        364.452
        64        303.915         348.13
        65        302.164        326.973
        66        297.581        318.966
        67        284.994        311.487
        68        276.694        305.527
        69        275.618        299.383
        70        270.329        293.272
        71        263.971        287.188
        72         254.37        281.349
        73        251.563        276.413
        74        247.886         267.15
        75        246.368        261.206
        76        241.979        259.318
        77        236.668        254.179
        78        232.506        253.868
        79        230.304        253.686
        80        230.304        255.075
        81        227.069        253.394
        82        224.546        251.079
        83        224.546        244.081
        84        222.042        240.408
        85        218.894         236.56
        86        218.324        233.949
        87        214.212        228.318
        88        213.945        225.219
        89        209.262        223.535
        90         205.26        217.381
        91        202.683         215.66
        92        201.768        212.128
        93        201.768        210.713
        94        200.917         209.64
        95        200.917        208.339
        96        172.051        207.216
        97        172.051        209.723
        98        172.051        214.749
        99        172.051        214.076
       100        172.051        213.106
       101        166.472        208.814
       102        166.067        196.719
       103        164.678        187.046
       104        164.585         183.54
       105         162.86        176.849
       106        155.865        173.517
       107        155.182        172.356
       108        154.361        178.293
       109        154.361        185.365
       110        154.361        191.561
       111        154.361        192.452
       112        154.361        193.858
       113        150.628        191.657
       114        150.628        186.789
       115        149.479        170.228
       116        149.479         164.61
       117        148.462        158.152
       118        148.462        155.286
       119        146.934        153.758
       120        145.917         152.23
       121        137.204        153.201
       122        137.204        152.529
       123        135.674        156.833
       124        134.699        166.849
       125         130.21        170.705
       126         130.21        174.239
       127         130.21        165.453
       128         130.21        164.256
       129        129.194        161.758
       130        129.194        153.243
       131         127.58        141.512
       132         127.58        134.409
       133        127.194         131.58
       134         125.58        130.569
       135        125.574        130.364
       136         123.66        129.484
       137         123.66        127.832
       138        122.129        127.914
       139        122.129        126.599
       140        121.104        138.746
       141        120.327        147.088
       142        120.277        146.128
       143        120.277        138.274
       144        120.277        132.657
       145        119.547        127.543
       146        100.042        125.858
       147        98.5121        122.444
       148        98.5121        119.951
       149        98.4619        115.956
       150        98.4619         110.74
       151        97.7688        104.372
       152        97.7688        105.839
       153        97.7688        114.019
       154        97.7239        120.202
       155        97.7239        131.424
       156        97.7239        138.032
       157        97.7239        130.374
       158        97.4399        117.782
       159        96.7132        114.993
       160        96.0763         107.56
       161        96.0763        101.273
       162        94.5683        98.4723
       163        93.9085        96.4407
       164        93.9085        95.7113
       165        92.0475          95.12
       166        92.0475        94.5927
       167        91.3553        93.8707
       168        91.1988        93.0194
       169        91.1988        92.5068
       170        91.1646        92.8857
       171        87.8062        91.6717
       172        86.2062        91.6454
       173        84.9433        91.4607
       174        84.8017        89.4397
       175        83.5046        88.2008
       176        83.3481        87.7691
       177        83.2862        86.1428
       178        81.9391        85.8244
       179        81.7826        88.3718
       180        80.4164        87.9952
       181        80.2599        85.3397
       182        80.1068        83.9688
       183        80.1068        83.7158
       184        80.1068        81.6049
       185         79.889        80.6388
       186         79.786        81.2017
       187        77.7342        81.1492
       188        77.1872        81.0482
       189        76.8277        80.9936
       190        76.6512        79.8373
       191         76.356         78.387
       192        75.6181        77.7545
       193        75.4448        77.3005
       194         75.013        76.9951
       195        74.5393        76.5252
       196        74.5393        76.6325
       197        74.5393        76.0427
       198        74.5393        75.6616
       199        73.9363        74.8833
       200        73.9363        74.6176
       201        73.7687        74.4357
       202        73.7127        74.1941
       203        73.0074        74.2712
       204        72.7838        74.7013
       205        72.7838        73.9872
       206        71.7128        73.5567
       207        70.8863        73.4664
       208        70.8863        73.1286
       209        70.6766         72.812
       210        70.6596        72.1466
       211         69.687        71.3183
       212        69.5263        71.1833
       213        69.2399        70.6522
       214        69.0532        70.6833
       215        69.0042        69.8537
       216        66.9605        69.5274
       217        65.7501        69.5957
       218        65.5844         70.069
       219        64.9235        68.7513
       220        64.9235        67.2291
       221        64.9235         66.959
       222        64.9235        65.9892
       223        64.9235        65.3845
       224        64.9235         65.071
       225        64.7549        65.3513
       226         64.094        66.1386
       227         64.094        67.3799
       228        64.0555        69.6276
       229        64.0555        70.3694
       230        64.0555        73.1783
       231        64.0555        70.4141
       232        64.0555        68.4981
       233        64.0555        67.6952
       234        64.0555        65.6422
       235        64.0555         65.568
       236        63.0721        65.3873
       237        63.0721        64.2961
       238        63.0721        64.6035
       239        63.0721        65.2787
       240        63.0721        65.5818
       241        63.0721        64.1207
       242        63.0721        64.0712
       243        63.0721        63.5033
       244        63.0721        63.2614
       245        63.0517         63.192
       246        63.0517        63.3103
       247        63.0517        63.1255
       248        63.0517        63.4848
       249        63.0517        63.9628
       250        63.0517        64.7184
       251        62.5784        63.5987
       252        62.5784         63.083
       253        62.5784        62.9144
       254        62.5784        63.6932
       255        62.5784        63.2701
       256        61.9601        63.2703
       257        61.9601        62.8113
       258        61.9601        62.5685
       259        61.9601         62.289
       260        61.9601        62.5741
       261        61.9601         62.372
       262        61.9601        62.4954
       263        61.9601        62.4932
       264        61.9601        62.4765
       265        61.9601         62.449
       266        61.9601        62.2852
       267        61.9601         62.572
       268        61.9601        62.7059
       269        61.9601        62.7803
       270        61.9601        62.0759
       271        60.8625        62.0721
       272        60.8625         62.925
       273        60.8625        63.1263
       274        60.8625        62.1293
       275        60.8625        61.8567
       276        60.8625        61.7449
       277        60.8625        62.4563
       278        60.8625        62.6198
       279        60.8625        61.5543
       280        60.8625        61.3796
       281        60.8625        61.0787
       282        60.8625        60.9533
       283        60.8625        61.3355
       284        60.8625        60.9644
       285        60.8625        60.9875
       286        59.8332          61.26
       287        59.8332        61.6374
       288        59.8332        60.8593
       289        59.8332        60.7258
       290        59.8332        60.4448
       291        59.8332         60.567
       292        59.8332        61.6954
       293        59.8332        61.2706
       294        59.8332        60.3687
       295        59.8332        60.5392
       296        59.8332        60.4756
       297        59.8332        60.4601
       298        59.8332        60.3332
       299        59.8332        60.2326
       300        59.8332        60.0759
       301        59.4022        59.8466
       302        59.4022        59.9364
       303        59.4022        59.7465
       304        59.4022        59.9118
       305        59.4022        60.0837
       306        59.4022        59.7422
       307        59.4022        59.7439
       308        59.4022        59.4301
       309        59.4022        59.8342
       310        59.4022        59.6328
       311        59.4022        60.2075
       312        59.4022        60.2529
       313        59.4022        60.8314
       314        59.4022        60.1519
       315        59.4022        60.3101
       316        59.4022        60.9223
       317        59.4022        59.8857
       318        59.4022        60.1825
       319        59.4022        59.7632
       320        59.4022        61.1934
       321        59.4022        59.7078
       322        59.4022        59.4845
       323        59.4022        59.5231
       324        59.4022        59.8303
       325        59.4022         59.787
       326        59.4022        59.6281
       327        59.3569        59.7698
       328        59.3569        59.9167
       329        59.3569        59.6031
       330        59.3569        59.9628
       331        59.3569        59.8047
       332        59.3569        60.0258
       333        59.3569        59.8063
       334        59.3569        59.4958
       335        59.3569        59.4353
       336        59.0681         59.424
       337        59.0681        59.3577
       338        59.0681         59.306
       339        59.0681        59.3612
       340        59.0681        59.5558
       341        59.0681        59.9632
       342        59.0681        59.5193
       343        59.0681        59.0964
       344        59.0681        59.1964
       345        59.0681        59.3988
       346        58.2294        60.0262
       347        58.1841        60.0473
       348        58.1841        59.6274
       349        58.1841        59.8466
       350        58.1841        60.1645
       351        58.1841        59.5499
       352        58.1841        58.9681
       353        58.1841         59.373
       354        58.1841        59.5656
       355        58.1841        58.8439
       356        58.1841        58.5699
       357        58.1841        58.9132
       358        58.1841        59.2897
       359        58.1841        58.8693
       360        58.1841        59.6912
       361        58.1841        59.3717
       362        58.1841         58.497
       363        58.1841        58.4604
       364        58.1841        58.3342
       365        58.1841        58.5341
       366        58.1841          58.96
       367        58.1841        58.5728
       368        58.1841         60.171
       369        58.1841        59.7597
       370        58.1841        59.3712
       371        58.1841        59.1994
       372        58.1841        59.1552
       373        58.1841        58.5892
       374        58.1841        59.0354
       375        58.1841         59.019
       376        58.1841         58.762
       377        58.1841        58.5859
       378        58.1841        58.9179
       379        58.1841        59.8209
       380        58.1841        59.0082
       381        58.1841        58.4855
       382        58.1841        58.6084
       383        58.1841          58.26
       384        58.0533        58.6029
       385        57.2741        58.5764
       386        57.1433        58.3526
       387        56.5482        58.0387
       388        56.5482        58.1447
