#     GEN:            L2:          <L2>:
         1        2166.13        2700.67
         2        2043.55        2456.24
         3        1872.61        2278.97
         4        1825.11        2143.05
         5        1775.95        1981.64
         6        1666.83        1891.39
         7        1635.23        1823.06
         8        1595.75        1784.47
         9         1551.7        1740.73
        10        1507.29        1677.56
        11        1429.39        1611.82
        12        1415.62        1559.97
        13        1298.31        1515.51
        14        1232.83        1471.83
        15        1219.06        1395.65
        16        1125.18        1320.29
        17        1115.89        1267.61
        18        1041.34        1232.08
        19        1037.52        1191.65
        20        1018.35        1145.79
        21        903.604        1099.26
        22        884.078        1069.62
        23        871.387        1045.76
        24        843.488        1021.83
        25        821.392        975.538
        26        806.451        909.826
        27        774.612        877.386
        28        774.612        859.549
        29         746.72        834.637
        30        724.423        806.995
        31        709.855        781.147
        32        698.171        760.212
        33        681.923        742.685
        34        650.672        729.015
        35        636.972        711.557
        36        585.176        686.159
        37        584.033        670.963
        38        583.621        668.747
        39        574.208        656.156
        40        568.914        638.342
        41        550.972        612.744
        42        527.165        594.019
        43        520.254        583.015
        44        513.564        565.669
        45         496.42        553.743
        46        474.071        537.759
        47        463.068        530.587
        48        463.068        515.878
        49        436.013        507.827
        50        424.023        489.239
        51        414.792        466.317
        52        405.468        441.741
        53         401.18        427.052
        54        395.912        418.185
        55        392.152        411.938
        56        381.311        405.583
        57        367.673        398.788
        58        364.871        391.482
        59        359.237        381.961
        60        356.543        374.885
        61        352.119        370.442
        62        348.227        364.617
        63        344.299        363.822
        64          336.5        359.367
        65        325.946        356.274
        66        276.554         350.28
        67        276.554        341.462
        68        274.338        326.365
        69        269.692          313.1
        70        262.427         296.32
        71        256.058         294.92
        72        248.447        293.723
        73          243.5        289.847
        74        241.814        282.254
        75        239.805        274.025
        76         236.24        259.722
        77        232.481        253.566
        78        229.049        250.795
        79        224.328        245.537
        80         212.16        241.066
        81        210.395        238.231
        82          209.2        233.231
        83        208.483        228.232
        84        205.142        221.816
        85        205.063        215.869
        86        200.149        213.636
        87        198.575        211.347
        88        195.097        208.936
        89        183.017        209.668
        90        183.017        206.267
        91        182.298        199.907
        92        180.212        191.807
        93        175.751        188.139
        94        175.434        186.252
        95         172.77        189.615
        96         172.77        196.422
        97        171.282        196.494
        98        169.689        195.784
        99          168.2        190.878
       100         166.68        185.115
       101        164.698        176.692
       102        163.177        174.414
       103        161.688        171.299
       104        160.969        172.217
       105        160.496        168.542
       106        160.496        166.724
       107        155.351        164.421
       108        154.348        162.313
       109        154.348        160.692
       110        150.362        158.375
       111        148.639        156.044
       112        147.497        154.013
       113        146.102        151.918
       114        140.231        149.722
       115        140.231        150.525
       116        140.231        154.654
