#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.330575   -0.330575           0
           2   -0.323527   -0.327051  0.00249197
           3   -0.403045   -0.352382   0.0207497
           4   -0.411639   -0.367196   0.0201688
           5   -0.385112   -0.370779   0.0164502
           6   -0.357545   -0.368574   0.0138556
           7   -0.357446   -0.366984   0.0119671
           8   -0.336566   -0.363182   0.0110587
           9   -0.350093   -0.361727  0.00992516
          10     -0.3626   -0.361815  0.00893303
          11   -0.432948   -0.368281   0.0101964
          12   -0.424649   -0.372979   0.0103724
          13   -0.374015   -0.373058   0.0095748
          14   -0.366622   -0.372599  0.00890192
          15   -0.401513   -0.374526  0.00851461
          16   -0.386238   -0.375258  0.00801385
          17   -0.368171   -0.374841  0.00755328
          18   -0.415147   -0.377081  0.00745819
          19   -0.420564   -0.379369  0.00740847
          20   -0.413967   -0.381099   0.0072372
