#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.973436   -0.973436           0
           2    -0.97418   -0.973808 0.000263044
           3   -0.969212   -0.972276  0.00126311
           4   -0.970832   -0.971915 0.000997583
           5   -0.975112   -0.972554 0.000981823
           6   -0.973092   -0.972644 0.000822264
           7    -0.96858   -0.972063  0.00088637
           8    -0.97576   -0.972525 0.000887883
           9   -0.975896     -0.9729 0.000864609
          10   -0.978896     -0.9735  0.00096389
          11    -0.97844   -0.973949 0.000975302
          12    -0.97442   -0.973988 0.000894818
          13   -0.972188    -0.97385 0.000836629
          14   -0.970544   -0.973613 0.000809502
          15     -0.9792   -0.973986 0.000836837
          16    -0.97886    -0.97429  0.00083815
          17   -0.980616   -0.974663 0.000867517
          18   -0.966632   -0.974216  0.00092697
          19   -0.975608    -0.97429 0.000881071
          20   -0.970856   -0.974118 0.000853581
