#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      4.3293      4.3293           0
           2      7.6375      5.9834     1.16963
           3      1.6702     4.54567     1.40928
           4     -4.4888     2.28705     2.22332
           5      6.0544     3.04052     1.90205
           6     15.9074       5.185     2.51887
           7      0.8169     4.56099     2.23499
           8     -0.0117      3.9894     2.02739
           9      1.2825     3.68863      1.8243
          10     19.5336     5.27313     2.22605
          11     19.9461     6.60704     2.39015
          12      5.6078     6.52377     2.19242
          13     -1.4054     5.91383     2.10691
          14      5.2293     5.86494     1.95698
          15      -2.107     5.33347     1.89731
          16     -9.3436     4.41616     1.98815
          17     -7.9741     3.68732     2.00034
          18      3.9426      3.7015     1.88926
          19     21.0103     4.61249     1.99742
          20     -5.1667     4.12353     1.95648
