#   N_BLOCK:  ACCEPTANCE:
           1    0.026834
           2   0.0264405
           3    0.027766
           4   0.0281705
           5   0.0275264
           6   0.0274347
           7   0.0280029
           8   0.0275043
           9   0.0271089
          10   0.0265202
          11   0.0260724
          12   0.0260183
          13   0.0261438
          14   0.0264161
          15   0.0260454
          16   0.0257511
          17   0.0253879
          18   0.0258353
          19   0.0257603
          20   0.0259403
