#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     16.5755     16.5755           0
           2     16.3061     16.4408   0.0952696
           3     18.3898     17.0905    0.534235
           4     17.5339     17.2013    0.412016
           5     16.2187     17.0048    0.373556
           6      16.974     16.9997    0.311332
           7      18.579     17.2253     0.33889
           8     15.5642     17.0177    0.354474
           9     16.4236     16.9516    0.321175
          10      14.247     16.6812    0.386509
          11     14.2957     16.4643    0.407698
          12     16.4038     16.4593    0.373754
          13     17.0361     16.5036    0.347628
          14      16.853     16.5286    0.323692
          15     15.0336     16.4289    0.317085
          16     13.8958     16.2706    0.334465
          17      13.273     16.0943    0.358269
          18     18.3378     16.2189    0.359392
          19     15.8295     16.1984     0.34106
          20     18.4439     16.3107    0.341988
