#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     189.686     189.686           0
           2     188.461     189.074    0.432819
           3     189.029     189.059    0.288799
           4     190.355     189.383    0.354569
           5     189.581     189.422    0.285849
           6     188.765     189.313    0.258354
           7     191.221     189.585     0.33576
           8     190.083     189.648    0.299483
           9     190.305     189.721    0.274967
          10      188.54     189.603    0.271625
          11     189.452     189.589    0.247278
          12     188.506     189.499    0.242583
          13     189.309     189.484    0.224361
          14     190.653     189.568    0.223322
          15     189.997     189.596    0.210259
          16     190.457      189.65    0.203887
          17     190.346     189.691    0.195958
          18     189.217     189.665    0.186835
          19     190.568     189.712    0.182948
          20     188.579     189.655    0.182357
