#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.494442   -0.494442           0
           2   -0.492715   -0.493579 0.000610488
           3   -0.493499   -0.493552 0.000407568
           4   -0.495541    -0.49405 0.000528115
           5   -0.494371   -0.494114 0.000426378
           6   -0.493331   -0.493983 0.000374725
           7   -0.496514   -0.494345 0.000463905
           8   -0.495014   -0.494429 0.000413397
           9   -0.495458   -0.494543 0.000382946
          10    -0.49282   -0.494371  0.00038145
          11   -0.494389   -0.494372 0.000346777
          12   -0.492822   -0.494243 0.000341084
          13   -0.493688     -0.4942 0.000317512
          14   -0.495521   -0.494295  0.00030852
          15    -0.49506   -0.494346 0.000292138
          16   -0.495658   -0.494428  0.00028516
          17   -0.495723   -0.494504  0.00027838
          18   -0.494204   -0.494487 0.000263414
          19   -0.496155   -0.494575 0.000263766
          20    -0.49303   -0.494498 0.000261644
