#   N_BLOCK:  ACCEPTANCE:
           1    0.501849
           2    0.502745
           3    0.502659
           4    0.502264
           5    0.502356
           6    0.502299
           7    0.502132
           8    0.502112
           9    0.502043
          10    0.502097
          11    0.502118
          12    0.502164
          13    0.502215
          14    0.502286
          15    0.502259
          16    0.502176
          17    0.502173
          18     0.50216
          19     0.50203
          20    0.502078
