#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     79.8018     79.8018           0
           2     79.2401      79.521    0.198601
           3     80.0479     79.6966    0.195182
           4     82.8355     80.4813    0.695168
           5      80.192     80.4235    0.558537
           6     81.2228     80.5567    0.481074
           7      83.435     80.9679     0.56121
           8     81.8455     81.0776    0.501667
           9     80.5309     81.0168    0.449588
          10     78.9049     80.8056    0.451518
          11     79.8817     80.7217     0.41821
          12      78.299     80.5198    0.429332
          13     80.9646      80.554    0.397668
          14     81.5631     80.6261    0.375739
          15     82.5369     80.7535    0.371657
          16     81.3356     80.7898    0.350204
          17     80.0296     80.7451    0.332447
          18     80.6867     80.7419    0.313994
          19     80.1947     80.7131    0.298785
          20     79.6189     80.6584    0.288811
