#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     147.868     147.868           0
           2     147.336     147.602    0.187989
           3     146.301     147.168    0.375722
           4     148.845     147.588    0.459619
           5     141.004     146.271      1.2337
           6     150.518     146.979     1.21425
           7     146.374     146.892     1.04385
           8     149.342     147.199    0.957238
           9         143     146.732    0.957814
          10     146.377     146.697    0.862692
          11      146.63     146.691    0.784287
          12     146.916     146.709    0.719155
          13     149.265     146.906    0.690182
          14     144.938     146.765    0.655046
          15     140.269     146.332     0.74085
          16     145.394     146.274    0.696864
          17     145.963     146.255    0.656112
          18     150.574     146.495    0.662083
          19     147.465     146.546    0.629199
          20     141.817      146.31    0.640626
