#   N_BLOCK:  ACCEPTANCE:
           1    0.385844
           2    0.386354
           3    0.386636
           4    0.386317
           5    0.386734
           6    0.386885
           7    0.386984
           8    0.387101
           9    0.387175
          10    0.387004
          11    0.387071
          12    0.387039
          13    0.387067
          14    0.387108
          15    0.387222
          16    0.387232
          17    0.387217
          18     0.38707
          19    0.387025
          20    0.387095
