#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     15.6462     15.6462           0
           2     15.8513     15.7487   0.0724945
           3     15.6812     15.7262    0.051706
           4      15.645     15.7059   0.0425805
           5     15.6037     15.6855   0.0386652
           6     15.9028     15.7217   0.0461633
           7     16.1165     15.7781    0.065514
           8     15.8464     15.7866   0.0578781
           9     15.9056     15.7998   0.0529354
          10     15.7562     15.7955   0.0478215
          11     16.0443     15.8181   0.0485297
          12     15.8384     15.8198   0.0445152
          13     16.0921     15.8407   0.0457538
          14      15.627     15.8255   0.0449605
          15     15.6764     15.8155   0.0430478
          16     15.7816     15.8134   0.0404095
          17     16.0406     15.8268   0.0401819
          18     15.5378     15.8107   0.0410316
          19     15.6875     15.8042   0.0393814
          20      15.996     15.8138   0.0385623
