#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.9194      0.9194           0
           2       0.272      0.5957     0.22889
           3     -0.8197      0.1239    0.414345
           4      0.5136    0.221325    0.322009
           5     -0.7381     0.02944    0.309544
           6      0.8415    0.164783    0.286015
           7       0.134    0.160386     0.24519
           8       0.044    0.145838    0.214972
           9     -0.3231   0.0937333      0.1973
          10     -0.4007     0.04429     0.18366
          11      0.1249   0.0516182     0.16711
          12     -0.4964     0.00595    0.159302
          13     -0.0477  0.00182308    0.147102
          14      0.0636  0.00623571    0.136661
          15      0.2181     0.02036    0.128278
          16      0.1048   0.0256375    0.120369
          17      0.0256   0.0256353    0.113288
          18     -0.0184   0.0231889    0.107021
          19      -0.018   0.0210211     0.10141
          20     -0.1476     0.01259   0.0966896
