#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.6139     -0.6139           0
           2    -0.61112    -0.61251 0.000982878
           3   -0.612548   -0.612523 0.000655334
           4   -0.616216   -0.613446 0.000938606
           5   -0.611676   -0.613092 0.000814911
           6    -0.61294   -0.613067 0.000679487
           7   -0.612808    -0.61303 0.000583421
           8   -0.611804   -0.612877  0.00053023
           9   -0.611528   -0.612727  0.00049203
          10   -0.613052   -0.612759 0.000443902
          11    -0.61298   -0.612779    0.000404
          12   -0.613808   -0.612865  0.00037932
          13   -0.612412    -0.61283 0.000351739
          14    -0.61252   -0.612808 0.000327311
          15   -0.611284   -0.612706 0.000320872
          16   -0.612212   -0.612676 0.000302302
          17     -0.6124   -0.612659 0.000284953
          18   -0.616064   -0.612848  0.00032591
          19    -0.61376   -0.612896 0.000312268
          20   -0.610936   -0.612798 0.000311659
