#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.960984   -0.960984           0
           2   -0.965024   -0.963004  0.00142836
           3   -0.966568   -0.964192  0.00135928
           4   -0.972504    -0.96627   0.0020683
           5   -0.963168    -0.96565  0.00174521
           6    -0.97086   -0.966518  0.00165636
           7   -0.973624   -0.967533  0.00170263
           8   -0.978336   -0.968883  0.00195321
           9   -0.971416   -0.969165  0.00175634
          10   -0.976788   -0.969927  0.00173829
          11   -0.971244   -0.970047  0.00158438
          12   -0.971252   -0.970147  0.00145553
          13   -0.973548   -0.970409  0.00136687
          14   -0.971688     -0.9705  0.00127228
          15    -0.97502   -0.970802  0.00122262
          16   -0.973288   -0.970957  0.00115604
          17   -0.976972   -0.971311   0.0011409
          18   -0.973384   -0.971426  0.00108332
          19     -0.9694   -0.971319  0.00103154
          20   -0.975816   -0.971544  0.00100416
