#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       1.405       1.405           0
           2      1.3716      1.3883   0.0118087
           3      0.9352     1.23727    0.123569
           4      1.4986      1.3026    0.108583
           5      1.6814     1.37836     0.11017
           6      1.7138     1.43427     0.10504
           7      1.5949     1.45721   0.0925071
           8      1.2747      1.4344   0.0837097
           9      1.5958     1.45233   0.0763054
          10      1.1725     1.42435   0.0736274
          11      1.1665     1.40091   0.0705669
          12      1.2568      1.3889   0.0657002
          13      1.3536     1.38618   0.0607025
          14      1.4851     1.39325   0.0567763
          15      1.2896     1.38634     0.05341
          16      1.3951     1.38689   0.0500747
          17      1.6173     1.40044    0.048929
          18      1.2163     1.39021   0.0472681
          19      1.7034     1.40669   0.0475677
          20      1.3144     1.40208   0.0454126
