#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462638   -0.462638           0
           2   -0.460829   -0.461733 0.000639705
           3   -0.463426   -0.462298 0.000627799
           4   -0.462787    -0.46242 0.000482646
           5   -0.463669    -0.46267 0.000446058
           6   -0.463734   -0.462847 0.000405422
           7    -0.46401   -0.463013 0.000380022
           8    -0.46387    -0.46312  0.00034728
           9   -0.464786   -0.463305 0.000354616
          10   -0.460485   -0.463023 0.000416474
          11   -0.464223   -0.463132 0.000392623
          12   -0.464159   -0.463218 0.000369103
          13   -0.463765    -0.46326 0.000343105
          14   -0.463522   -0.463279 0.000319108
          15    -0.46294   -0.463256 0.000298633
          16   -0.463566   -0.463276 0.000280595
          17   -0.463759   -0.463304 0.000265527
          18   -0.463083   -0.463292  0.00025106
          19   -0.464357   -0.463348 0.000244032
          20    -0.46241   -0.463301 0.000236294
