#   N_BLOCK:  ACCEPTANCE:
           1     0.53349
           2    0.534133
           3    0.533924
           4    0.534012
           5     0.53403
           6    0.533853
           7    0.533732
           8    0.533739
           9      0.5336
          10    0.533742
          11    0.533672
          12    0.533531
          13    0.533517
          14    0.533597
          15    0.533582
          16    0.533566
          17    0.533575
          18    0.533567
          19    0.533482
          20    0.533475
