#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     67.5894     67.5894           0
           2     68.2956     67.9425    0.249679
           3     68.6822     68.1891    0.261221
           4     68.6452     68.3031    0.219399
           5     69.2606     68.4946    0.245244
           6     69.2594     68.6221    0.235174
           7     69.7215     68.7791    0.248552
           8     67.7901     68.6555    0.246318
           9     70.8156     68.8955     0.31487
          10     67.4069     68.7466    0.316623
          11     68.5559     68.7293    0.288313
          12     69.5364     68.7966    0.272019
          13     69.3666     68.8404    0.254604
          14     68.7719     68.8355    0.236465
          15      68.314     68.8008    0.223242
          16     69.1291     68.8213    0.210231
          17     70.1509     68.8995    0.211914
          18     70.8663     69.0088    0.226567
          19      68.714     68.9932    0.215173
          20     68.4882      68.968    0.205891
