#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     143.682     143.682           0
           2     142.712     143.197    0.342939
           3      144.32     143.571    0.381738
           4      143.73     143.611     0.28836
           5     144.203     143.729    0.253867
           6     144.294     143.823    0.228353
           7     144.328     143.896    0.206815
           8     144.502     143.971    0.194353
           9     144.757     144.059    0.191381
          10     142.418     143.895    0.232172
          11     144.403     143.941    0.215622
          12     144.479     143.986    0.202258
          13     144.214     144.003    0.187464
          14     144.115     144.011    0.174243
          15     143.715     143.991    0.163741
          16     144.223     144.006    0.154144
          17     144.182     144.016    0.145424
          18     143.819     144.005    0.137756
          19     144.379     144.025    0.131901
          20      143.57     144.002    0.127256
