#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.8368      0.8368           0
           2       0.984      0.9104   0.0520431
           3      1.2444     1.02173   0.0972994
           4     -1.0197    0.511375    0.447967
           5     -0.6621     0.27668    0.415328
           6      -0.302    0.180233    0.357129
           7      0.2492    0.190086    0.306247
           8      1.2338     0.32055    0.294447
           9     -0.3787    0.242856    0.271788
          10     -0.4515     0.17342    0.253323
          11     -0.2797    0.132227    0.233619
          12      0.3651    0.151633    0.214955
          13      0.8539    0.205654    0.205096
          14      0.7661    0.245686    0.194314
          15     -1.0331    0.160433    0.199185
          16      0.1296    0.158506    0.186745
          17     -0.8675   0.0981529    0.185257
          18     -0.4935   0.0652833    0.177857
          19     -1.2944 -0.00627895    0.182325
          20      -1.074   -0.059665    0.180856
