#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     287.419     287.419           0
           2     294.732     291.075      2.5857
           3     301.051     294.401     3.21611
           4     276.053     289.814     4.64744
           5     271.071     286.065     5.00646
           6      289.48     286.634     4.20428
           7     272.076     284.554     4.08581
           8     267.206     282.386     4.11047
           9     280.759     282.205     3.65773
          10     256.571     279.642     4.09279
          11     272.924     279.031     3.76601
          12     276.507     278.821     3.45805
          13      267.67     277.963      3.2967
          14     279.979     278.107     3.06436
          15     269.167     277.511     2.91746
          16     279.887      277.66      2.7389
          17     288.706     278.309     2.65375
          18     282.927     278.566     2.51869
          19     292.368     279.292     2.48868
          20     268.474     278.751     2.42231
