#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     20.0722     20.0722           0
           2     20.0348     20.0535   0.0131969
           3     19.6877     19.9316   0.0999322
           4     19.7475     19.8856   0.0848911
           5     19.7538     19.8592   0.0718887
           6     20.4178     19.9523    0.103987
           7     19.6205     19.9049    0.099352
           8     19.6349     19.8711   0.0924896
           9     19.9799     19.8832   0.0829984
          10     19.7563     19.8705   0.0756624
          11     19.0659     19.7974   0.0979596
          12     19.5266     19.7748   0.0923586
          13     19.6734      19.767    0.085583
          14     20.0508     19.7873    0.081836
          15      19.483      19.767    0.078854
          16      19.416     19.7451   0.0769171
          17       19.91     19.7548   0.0730022
          18     20.2182     19.7805   0.0733459
          19     19.9296     19.7884   0.0699039
          20      19.619     19.7799   0.0669194
